USN,Gender,Age,12th marks %,rural/ urban area,Section,Why take this course?,Which teaching methods helped your learning?,Were you prepared to take this course based on prior coursework?,How much time did you spend weekly on this course outside of class for C01?,How much time did you spend weekly on this course outside of class for C02?,How much time did you spend weekly on this course outside of class for C03?,How much time did you spend weekly on this course outside of class for C04?,What level have you achieved in the course outcomes for C01?,What level have you achieved in the course outcomes for C02?,What level have you achieved in the course outcomes for C03?,What level have you achieved in the course outcomes for C04?,How satisfied are you with C01?,How satisfied are you with C02?,How satisfied are you with C03?,How satisfied are you with C04?,List strategies for learning the course outcomes for C01,List strategies for learning the course outcomes for C02,List strategies for learning the course outcomes for C03,List strategies for learning the course outcomes for C04,How many marks will you give yourself for C01?,How many marks will you give yourself for C02?,How many marks will you give yourself for C03?,How many marks will you give yourself for C04?,"If your marks are low in C01, who do you blame for your performance?","If your marks are low in C02, who do you blame for your performance?","If your marks are low in C03, who do you blame for your performance?","If your marks are low in C04, who do you blame for your performance?",Explain briefly your rationale for you choice to the previous question,Would more faculty concern improve your learning in C01?,Would more faculty concern improve your learning in C02?,Would more faculty concern improve your learning in C03?,Would more faculty concern improve your learning in C04?,Would more outside help improve your learning in C01?,Would more outside help improve your learning in C02?,Would more outside help improve your learning in C03?,Would more outside help improve your learning in C04?,Your overall feedback,Would more outside help improve your learning in C01?.1,Would more outside help improve your learning in C01?.2,Would more outside help improve your learning in C01?.3,Your overall feedback about the course,Write a paragraph about your course experience.,Were class activities allowed to be submitted after the class timing? [CO1]
1RVU23BSC035,Female,18.0,77,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Student presentations",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),,,,,,
1RVU23BSC096,Female,17.0,7%,Rural,IDA_B,Interest in the subject,"Class discussions, including online discussion boards",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,"Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods",Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,2,2,2,2,Yourself,Yourself,Yourself,Yourself,"She is doing her best, if anything is lacking it means, it's just because of me.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Okay (40 - 70%),,,,,,
1RVU23BSC182,Female,18.0,92.8,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization","Lectures, including online lectures;In-class learning activities, other than discussions;Student presentations",No,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),"I tried  my best to do well  as I had missed a  lot of classes due to some emergency, so I put all efforts in to understand without much help. ",NO,NO,NO,NO,NO,NO,NO,NO,Good (70 - 90%),,,,,,
1RVU23BSC122,Female,19.0,70,Rural,IDA_C,Fulfills general curriculum/education requirement;Interest in the subject,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios",Yes,Less than one hour,3-4 hours,1-2 hours,9-10 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I put in the required effort,Neutral with my effort,Neutral about understanding the teacher,Neutral with my effort,"Understand others work but redo it, without referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,3,4,4,5,Yourself,Yourself,Yourself,Yourself,I blame myself for every outcome i have got and thank faculty for thier support.,NO,NO,NO,NO,NO,NO,NO,Yes,Good (70 - 90%),,,,,,
1RVU23BSC063,Male,18.0,75%,Urban,IDA_B,Interest in the subject,"Lectures, including online lectures;Outside-class homework, readings;Teamwork or group activities",Yes,1-2 hours,5-6 hours,5-6 hours,7-8 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),IDA course is fun to do and with the helpful teacher it was more easy to understand what we were studying,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC143,Female,18.0,92.3,Urban,IDA_A,Interest in the subject,"Lectures, including online lectures;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities",No,Less than one hour,1-2 hours,1-2 hours,1-2 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, without referring to it",4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I understood all the concepts .,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),,,,,,
108,Female,18.0,86%,Urban,IDA_B,Interest in the subject,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities",Yes,5-6 hours,5-6 hours,5-6 hours,7-8 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,Circumstances,Circumstances,Circumstances,Circumstances,Done well!!,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC025,Male,17.0,66,Rural,IDA_B,Interest in the subject;Fits into my schedule,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;Labs;Projects or portfolios",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),IDA course was best ,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC102,Male,18.0,76,Urban,IDA_A,Fits into my schedule;Friends recommended the course,Teamwork or group activities,No,3-4 hours,3-4 hours,3-4 hours,3-4 hours,"Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods",Neutral with my effort,Neutral with my effort,Neutral with my effort,Neutral with my effort,"Understand others work but redo it, referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, referring to it",4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NIL,NO,NO,NO,NO,NO,NO,NO,NO,Good (70 - 90%),,,,,,
1RVU23BSC030,Female,17.0,73%,Rural,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",4,4,4,4,Yourself,Yourself,Yourself,Yourself,I am responsible for my marks and I am not going to blame any others.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),,,,,,
"1RVU23BSC079,",Female,18.0,82.64,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations;Writing work",Yes,3-4 hours,1-2 hours,1-2 hours,Less than one hour,"Synthesizing and organizing ideas, information, or experiences","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods",Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,5,5,5,Yourself,NA(marks >2),NA(marks >2),NA(marks >2),"I'm enjoying my studies in this course. And I put complete effort on this course the teachers also guided me, so I would like to thank them",NO,NO,NO,NO,Yes,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC030,Female,17.0,73%,Rural,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",4,4,4,4,Yourself,Yourself,Yourself,Yourself,I am responsible for my marks and I am not going to blame any others.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),,,,,,
1RVU23BSC021,Male,19.0,74,Urban,IDA_C,Fulfills general curriculum/education requirement;Interest in the subject,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;Projects or portfolios;Teamwork or group activities",Yes,3-4 hours,3-4 hours,5-6 hours,5-6 hours,Thinking creatively or critically,Thinking creatively or critically,Solving problems,Solving problems,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I understood the teacher,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, without referring to it",5,5,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Probably My marks is above 1 and 2 so it is N/A even if its 1 or 2 i would take circumstances ,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC056,Female,18.0,72.4,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions",No,Less than one hour,1-2 hours,1-2 hours,1-2 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I understood the teacher,Happy as I put in the required effort,Happy as I understood the teacher,Happy as I understood the teacher,Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, without referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),the IDA faculty taught us the course perfectly and I cleared the doubts time yo time. I think NA is appropriate answer for the above question.,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC136,Male,18.0,75,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Teamwork or group activities",No,1-2 hours,1-2 hours,1-2 hours,1-2 hours,"Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods",Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, referring to it",3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I have put on required effort.,NO,NO,NO,NO,NO,NO,NO,NO,Good (70 - 90%),,,,,,
1rvu23bsc167,Female,18.0,57,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Teamwork or group activities;Student presentations",No,Less than one hour,1-2 hours,1-2 hours,1-2 hours,Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,Happy as I put in the required effort,Happy as I understood the teacher,Happy as I enjoyed doing the CO activities,Neutral with my effort,"Understand others work but redo it, referring to it","Understand others work but redo it, referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, referring to it",3,3,3,3,Yourself,Yourself,Yourself,Yourself,Im responsible for my work,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Good (70 - 90%),,,,,,
1RVU23BSC132,Male,19.0,72%,Urban,IDA_C,"Required (Core) for Program, Minor, or Specialization","Lectures, including online lectures",No,7-8 hours,7-8 hours,7-8 hours,7-8 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",5,5,5,5,Yourself,Yourself,Yourself,Yourself,.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),,,,,,
1RVU23BSC095,Male,19.0,84,Rural,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;In-class clickers or other quick response methods;Teamwork or group activities;Student presentations;Guest lecturers;Fieldwork/ field trips",Yes,1-2 hours,Less than one hour,5-6 hours,7-8 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Neutral with my effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,Yourself,Yourself,Yourself,Yourself,I blame myself for outcomes and faculty for making the concepts clear.,NO,NO,Yes,Yes,NO,NO,NO,NO,Good (70 - 90%),,,,,,
1RVU23BSC057,Female,18.0,82.7,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities",Yes,5-6 hours,7-8 hours,5-6 hours,7-8 hours,Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,Happy as I put in the required effort,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I put in the required effort,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",4,4,4,4,Yourself,Yourself,Yourself,Yourself,.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),,,,,,
