USN ,Gender,Age,12th marks %,rural/ urban area ,Section,Why take this course?,Which teaching methods helped your learning? ,Were you prepared to take this course based on prior coursework?,"How much time did you spend weekly on this course outside of class for C01?
",How much time did you spend weekly on this course outside of class for C02? ,How much time did you spend weekly on this course outside of class for C03? ,How much time did you spend weekly on this course outside of class for C04? ,What level have you achieved in the course outcomes for C01?,What level have you achieved in the course outcomes for C02?,What level have you achieved in the course outcomes for C03?,What level have you achieved in the course outcomes for C04?,What were the key aspects of your efforts in CO1?,What were the key aspects of your efforts in CO2?,What were the key aspects of your efforts in CO3?,What were the key aspects of your efforts in CO4?,"
How satisfied are you with C01?","
How satisfied are you with C02?","
How satisfied are you with C03?","
How satisfied are you with C04?",List strategies for learning the course outcomes for C01,List strategies for learning the course outcomes for C02,List strategies for learning the course outcomes for C03,List strategies for learning the course outcomes for C04,"How many marks will you give yourself for C01? 
","How many marks will you give yourself for C02? 
","How many marks will you give yourself for C03? 
","How many marks will you give yourself for C04? 
","If your marks are low in C01, who do you blame for your performance?","If your marks are low in C02, who do you blame for your performance?","If your marks are low in C03, who do you blame for your performance?","If your marks are low in C04, who do you blame for your performance?",Explain briefly your rationale for you choice to the previous question,Would more faculty concern improve your learning in C01?,Would more faculty concern improve your learning in C02?,Would more faculty concern improve your learning in C03?,Would more faculty concern improve your learning in C04?,Would more outside help improve your learning in C01?,Would more outside help improve your learning in C02?,Would more outside help improve your learning in C03?,Would more outside help improve your learning in C04?,Your overall feedback 
1RVU23BSC035,Female,18,77,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Student presentations",Yes,R2,R2,R2,R2,R6,R6,R6,R6,R3,R3,R2,R5,R3,R3,R1,R1,R5,R5,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%)
1RVU23BSC096,Female,17,7%,Rural,IDA_B,Interest in the subject,"Class discussions, including online discussion boards",Yes,R2,R2,R2,R2,R4,R4,R4,R4,R2,R2,R2,R2,R1,R1,R1,R1,R5,R5,R5,R5,2,2,2,2,Yourself,Yourself,Yourself,Yourself,"She is doing her best, if anything is lacking it means, it's just because of me.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Okay (40 - 70%)
1RVU23BSC182,Female,18,92.8,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization","Lectures, including online lectures;In-class learning activities, other than discussions;Student presentations",No,R2,R2,R2,R2,R7,R7,R7,R7,R5,R5,R5,R5,R1,R1,R1,R1,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),"I tried  my best to do well  as I had missed a  lot of classes due to some emergency, so I put all efforts in to understand without much help. ",NO,NO,NO,NO,NO,NO,NO,NO,Good (70 - 90%)
1RVU23BSC122,Female,19,70,Rural,IDA_C,Fulfills general curriculum/education requirement;Interest in the subject,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios",Yes,R1,R3,R2,R6,R6,R6,R6,R6,R5,R5,R5,R10,R1,R4,R5,R4,R4,R5,R5,R5,3,4,4,5,Yourself,Yourself,Yourself,Yourself,I blame myself for every outcome i have got and thank faculty for thier support.,NO,NO,NO,NO,NO,NO,NO,Yes,Good (70 - 90%)
1RVU23BSC063,Male,18,75%,Urban,IDA_B,Interest in the subject,"Lectures, including online lectures;Outside-class homework, readings;Teamwork or group activities",Yes,R2,R4,R4,R5,R7,R7,R7,R7,R8,R8,R6,R8,R1,R1,R1,R1,R5,R5,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),IDA course is fun to do and with the helpful teacher it was more easy to understand what we were studying,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC143,Female,18,92.3,Urban,IDA_A,Interest in the subject,"Lectures, including online lectures;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities",No,R1,R2,R2,R2,R6,R6,R6,R6,R5,R5,R5,R5,R1,R1,R1,R1,R5,R5,R5,R4,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I understood all the concepts .,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
108,Female,18,86%,Urban,IDA_B,Interest in the subject,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities",Yes,R4,R4,R4,R5,R7,R7,R7,R7,R5,R5,R5,R5,R3,R3,R3,R3,R5,R5,R5,R5,5,5,5,5,Circumstances,Circumstances,Circumstances,Circumstances,Done well!!,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC025,Male,17,66,Rural,IDA_B,Interest in the subject;Fits into my schedule,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;Labs;Projects or portfolios",Yes,R2,R2,R2,R2,R7,R7,R7,R7,R3,R3,R3,R3,R1,R1,R1,R1,R5,R5,R5,R5,5,5,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),IDA course was best ,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC102,Male,18,76,Urban,IDA_A,Fits into my schedule;Friends recommended the course,Teamwork or group activities,No,R3,R3,R3,R3,R4,R4,R4,R4,R6,R6,R6,R6,R4,R4,R4,R4,R3,R3,R3,R3,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NIL,NO,NO,NO,NO,NO,NO,NO,NO,Good (70 - 90%)
1RVU23BSC030,Female,17,73%,Rural,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods",Yes,R2,R2,R2,R2,R6,R6,R6,R6,R1,R1,R1,R1,R3,R3,R3,R3,R4,R4,R4,R4,4,4,4,4,Yourself,Yourself,Yourself,Yourself,I am responsible for my marks and I am not going to blame any others.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%)
"1RVU23BSC079,",Female,18,82.64,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations;Writing work",Yes,R3,R2,R2,R1,R3,R4,R4,R4,R8,R6,R9,R6,R1,R1,R1,R1,R5,R5,R5,R5,4,5,5,5,Yourself,NA(marks >2),NA(marks >2),NA(marks >2),"I'm enjoying my studies in this course. And I put complete effort on this course the teachers also guided me, so I would like to thank them",NO,NO,NO,NO,Yes,NO,NO,NO,Excellent (> 90%)
1RVU23BSC030,Female,17,73%,Rural,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards",Yes,R2,R2,R2,R2,R6,R6,R6,R6,R1,R1,R1,R1,R2,R2,R2,R2,R4,R4,R4,R4,4,4,4,4,Yourself,Yourself,Yourself,Yourself,I am responsible for my marks and I am not going to blame any others.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%)
1RVU23BSC021,Male,19,74,Urban,IDA_C,Fulfills general curriculum/education requirement;Interest in the subject,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;Projects or portfolios;Teamwork or group activities",Yes,R3,R3,R4,R4,R7,R7,R6,R6,R2,R1,R5,R1,R3,R3,R3,R2,R5,R5,R5,R4,5,5,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Probably My marks is above 1 and 2 so it is N/A even if its 1 or 2 i would take circumstances ,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC056,Female,18,72.4,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions",No,R1,R2,R2,R2,R7,R7,R7,R7,R2,R1,R6,R6,R2,R1,R2,R2,R5,R4,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),the IDA faculty taught us the course perfectly and I cleared the doubts time yo time. I think NA is appropriate answer for the above question.,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC136,Male,18,75,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Teamwork or group activities",No,R2,R2,R2,R2,R4,R4,R4,R4,R1,R1,R1,R1,R1,R1,R1,R1,R4,R4,R3,R3,3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I have put on required effort.,NO,NO,NO,NO,NO,NO,NO,NO,Good (70 - 90%)
1rvu23bsc167,Female,18,57,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Teamwork or group activities;Student presentations",No,R1,R2,R2,R2,R5,R5,R5,R5,R1,R7,R8,R5,R1,R2,R3,R4,R3,R3,R5,R3,3,3,3,3,Yourself,Yourself,Yourself,Yourself,Im responsible for my work,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Good (70 - 90%)
1RVU23BSC132,Male,19,72%,Urban,IDA_C,"Required (Core) for Program, Minor, or Specialization","Lectures, including online lectures",No,R5,R5,R5,R5,R7,R7,R7,R7,R2,R2,R2,R2,R3,R3,R3,R3,R4,R4,R4,R4,5,5,5,5,Yourself,Yourself,Yourself,Yourself,.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%)
1RVU23BSC095,Male,19,84,Rural,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;In-class clickers or other quick response methods;Teamwork or group activities;Student presentations;Guest lecturers;Fieldwork/ field trips",Yes,R2,R1,R4,R5,R6,R6,R6,R6,R1,R6,R6,R10,R1,R3,R3,R4,R5,R5,R5,R5,4,4,4,4,Yourself,Yourself,Yourself,Yourself,I blame myself for outcomes and faculty for making the concepts clear.,NO,NO,Yes,Yes,NO,NO,NO,NO,Good (70 - 90%)
1RVU23BSC057,Female,18,82.7,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities",Yes,R4,R5,R4,R5,R5,R5,R5,R5,R2,R8,R8,R9,R1,R2,R2,R1,R4,R4,R4,R4,4,4,4,4,Yourself,Yourself,Yourself,Yourself,.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%)
1RVU23BSC076,Male,20,65.33%,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Reputation or peer recommendation of the instructor (faculty);Fits into my schedule;Advisor recommended the course;Friends recommended the course","Lectures, including online lectures;Class discussions, including online discussion boards;Projects or portfolios",Yes,R3,R3,R3,R3,R6,R6,R6,R6,R5,R5,R5,R5,R1,R1,R1,R1,R4,R4,R4,R4,5,4,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Marks is greater than 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%)
1RVU23BSC164,Female,18,75,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations",No,R4,R4,R4,R4,R6,R6,R6,R6,R5,R5,R5,R5,R1,R1,R1,R1,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I put in the efforts required and learnt a lots of things ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good (70 - 90%)
1RVU23BSC149,Female,18,98%,Urban,IDA_C,Fulfills general curriculum/education requirement;Interest in the subject;Fits into my schedule,"Lectures, including online lectures;Class discussions, including online discussion boards;Projects or portfolios;Teamwork or group activities",Yes,R3,R4,R4,R4,R6,R7,R7,R7,R5,R5,R5,R5,R3,R3,R3,R3,R5,R5,R5,R5,4,4,4,4,Yourself,Yourself,Yourself,Yourself,.,NO,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC111,Male,18,60,Urban,IDA_A,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","Class discussions, including online discussion boards",Yes,R2,R2,R2,R2,R6,R6,R4,R4,R9,R9,R9,R9,R4,R3,R4,R4,R4,R4,R3,R3,3,3,3,3,Yourself,Yourself,Yourself,Yourself,.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good (70 - 90%)
1RVU23BSC055,Female,18,79.36,Urban,IDA_B,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","Class discussions, including online discussion boards;In-class learning activities, other than discussions;Writing work",Yes,R2,R2,R2,R2,R7,R7,R7,R7,R6,R6,R6,R6,R3,R3,R3,R3,R4,R4,R4,R4,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I had put the required efforts and practiced a lot. The CO are easy. ,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC076,Male,20,65.33%,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Reputation or peer recommendation of the instructor (faculty);Fits into my schedule;Advisor recommended the course;Friends recommended the course","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;Projects or portfolios",Yes,R3,R3,R3,R3,R6,R6,R6,R6,R5,R5,R5,R5,R1,R1,R1,R1,R4,R4,R4,R4,5,4,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Marks is greater than 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%)
1RVU23BSC071,Male,18,69,Urban,IDA_B,Reputation or peer recommendation of the instructor (faculty),"Lectures, including online lectures",No,R3,R2,R4,R2,R3,R1,R1,R2,R6,R4,R5,R2,R3,R4,R3,R2,R3,R1,R2,R2,3,4,3,4,Yourself,NA(marks >2),NA(marks >2),NA(marks >2),recommended ,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Good (70 - 90%)
1RVU23BSC060,Female,18,97.40%,Urban,IDA_B,Interest in the subject,"In-class learning activities, other than discussions",No,R2,R3,R3,R3,R7,R7,R7,R7,R2,R5,R5,R5,R3,R3,R3,R3,R5,R5,R5,R5,5,5,5,5,Circumstances,Circumstances,Circumstances,Circumstances,None ,NO,NO,NO,NO,Yes,Yes,Yes,Yes,Excellent (> 90%)
1RVU23BSC109,Male,18,90.5,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Teamwork or group activities;Student presentations",Yes,R1,R4,R4,R4,R7,R7,R7,R7,R6,R6,R6,R6,R1,R1,R1,R1,R5,R5,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I practiced the concepts daily and tried solving new and similar problems ,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC146,Female,19,92%,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Teamwork or group activities",Yes,R5,R5,R5,R5,R7,R7,R7,R7,R5,R5,R5,R5,R1,R1,R1,R1,R5,R5,R5,R5,4,4,4,4,Circumstances,Circumstances,Circumstances,Circumstances,.,Yes,Yes,Yes,Yes,Yes,NO,NO,Yes,Good (70 - 90%)
1RVU23BSC148,Female,18,76.50%,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Reputation or peer recommendation of the instructor (faculty)","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Teamwork or group activities",No,R2,R3,R3,R3,R7,R6,R6,R6,R1,R2,R2,R2,R1,R1,R1,R1,R5,R5,R4,R4,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I know I have done well because I have put in all my efforts to learn the subject and did well overall ,NO,NO,NO,NO,NO,NO,Yes,Yes,Excellent (> 90%)
1RVU23BSC126,Male,19,80.5,Rural,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Reputation or peer recommendation of the instructor (faculty);Fits into my schedule;Advisor recommended the course","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations;Guest lecturers;Writing work",No,R6,R6,R6,R6,R7,R7,R7,R7,R5,R5,R5,R5,R2,R2,R2,R2,R5,R5,R5,R5,3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I don't I'll get less marks as I did the study well and understood everything by my teacher's,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%)
1RVU23BSC031,Female,19,69%,Urban,IDA_C,Interest in the subject,"In-class learning activities, other than discussions;Teamwork or group activities",Yes,R1,R4,R7,R7,R7,R7,R6,R6,R7,R8,R9,R9,R1,R1,R2,R1,R4,R4,R5,R5,5,5,4,4,Teacher,Teacher,Teacher,Teacher,teacher because i put my 100% efforts in it,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC052,Male,18,84,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;Outside-class homework, readings",Yes,R2,R2,R2,R2,R6,R6,R6,R6,R5,R5,R5,R5,R1,R1,R1,R1,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Understood the concepts,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%)
1RVU23BSC100,Male,19,87,Urban,IDA_B,Fulfills general curriculum/education requirement,"Lectures, including online lectures;Class discussions, including online discussion boards;Labs;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,R6,R6,R6,R6,R7,R7,R7,R7,R3,R3,R3,R3,R1,R1,R1,R1,R5,R5,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),None,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC048,Male,19,73,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule;Advisor recommended the course","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Student presentations;Guest lecturers;Fieldwork/ field trips;Writing work",Yes,R3,R3,R4,R3,R7,R7,R7,R7,R7,R6,R6,R5,R1,R1,R1,R1,R5,R5,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),This subject our lovable IDA faculty designed in such a way that no student would ever have problems and all of the important personalised attention ,Yes,NO,NO,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%)
1RVU23BSC014,Female,18,91,Urban,IDA_B,Interest in the subject,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities",No,R1,R2,R3,R3,R6,R6,R6,R6,R3,R4,R6,R6,R3,R3,R3,R3,R3,R4,R4,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NA,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
