USN ,rural/ urban area,Which teaching methods helped your learning? ,Were you prepared to take this course based on prior coursework?,"How much time did you spend weekly on this course outside of class for C01?
",How much time did you spend weekly on this course outside of class for C02? ,How much time did you spend weekly on this course outside of class for C03? ,How much time did you spend weekly on this course outside of class for C04? ,What level have you achieved in the course outcomes for C01?,What level have you achieved in the course outcomes for C02?,What level have you achieved in the course outcomes for C03?,What level have you achieved in the course outcomes for C04?,What were the key aspects of your efforts in CO1?,What were the key aspects of your efforts in CO2?,What were the key aspects of your efforts in CO3?,What were the key aspects of your efforts in CO4?,"
How satisfied are you with C01?","
How satisfied are you with C02?","
How satisfied are you with C03?","
How satisfied are you with C04?",List strategies for learning the course outcomes for C01,List strategies for learning the course outcomes for C02,List strategies for learning the course outcomes for C03,List strategies for learning the course outcomes for C04,"How many marks will you give yourself for C01? 
","How many marks will you give yourself for C02? 
",How many marks will you give yourself for C03?,How many marks will you give yourself for C04?,"If your marks are low in C01, who do you blame for your performance?","If your marks are low in C02, who do you blame for your performance?","If your marks are low in C03, who do you blame for your performance?","If your marks are low in C04, who do you blame for your performance?",Would more faculty concern improve your learning in C01?,Would more faculty concern improve your learning in C02?,Would more faculty concern improve your learning in C03?,Would more faculty concern improve your learning in C04?,Would more outside help improve your learning in C01?,Would more outside help improve your learning in C01?,Would more outside help improve your learning in C01?,Would more outside help improve your learning in C01?,Your overall feedback about the course,Write a paragraph about your course experience.
1RVU23CSE186,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Teamwork or group activities",No,T2,T2,T3,T3,R6,R6,R6,R6,R1,R1,R1,R1,R3,R3,R3,R3,R5,R5,R5,R5,5,5,5,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),Data analysis with python has been my favourite course to study. A subject which didn't stress me out as  much as  other subjects.It was easy to understand and to execute as well.kuddos to the professor for solving all the issues then and there in the class itself
1RVU23CSE441,Urban,"Class discussions, including online discussion boards;Projects or portfolios;Student presentations",No,T2,T2,T2,T2,R6,R6,R7,R7,R4,R1,R6,R2,R2,R2,R3,R2,R4,R4,R5,R5,4,4,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,NO,Excellent (> 90%),This course was extraordinary. Gave me in depth knowledge on data analysis and it's types. Gave me a broader idea on having more than one perspective to look at things.
IRVU23CSE178,Rural,"In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations",No,T2,T2,T3,T2,R1,R2,R2,R2,R1,R2,R4,R2,R1,R1,R1,R4,R4,R4,R3,R4,3,3,3,4,Yourself,Yourself,NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good (70 - 90%),It’s a very good experience and helps more in data analysis and data scientists
1RVU23CSE154,Urban,,,T2,T2,T2,T2,R6,R6,R6,R6,,,,,R3,R3,R1,R1,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good (70 - 90%),It was a good experience. Loved the content and application of the course on projects/assignments.
1RVU23CSE080,Rural,"In-class learning activities, other than discussions;Labs;Teamwork or group activities;Fieldwork/ field trips;Writing work",No,T1,T2,T2,T2,R3,R2,R1,R3,R2,R4,R3,R6,R1,R4,R4,R1,R3,R2,R2,R3,1,1,2,2,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,NO,NO,NO,Yes,NO,NO,Okay (40 - 70%),nothing
1RVU23CSE355,Urban,"Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities",No,T3,T2,T2,T2,R6,R6,R6,R6,R4,R5,R5,R5,R3,R3,R3,R3,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),It was great experience learning this course. Felt happy that I can analyse a dataframe and draw out some useful inference from the dataset
1RVU23CSE526,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,T1,T1,T1,T1,R7,R7,R6,R6,R1,R3,R1,R2,R3,R3,R3,R3,R3,R3,R3,R3,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),I don't believe in paragraph. It was awesome for me . No complaints. One of the best course for first semester people !
1RVU23CSE453,Rural,"Class discussions, including online discussion boards",No,T4,T3,T5,,R7,R6,R6,R7,R5,R7,R7,R7,R3,R3,R3,R3,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%),It was superb I like the sub and its applications nowadays. I learnt it cause Sahana ma'am taught to us...
1RVU23CSE507,Rural,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Teamwork or group activities;Student presentations;Guest lecturers",No,T2,T2,T2,T2,R7,R7,R7,R7,R4,R5,R6,R7,R1,R3,R1,R3,R4,R4,R4,R4,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),The course was exemplary.
1RVU23CSE264,Urban,"Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Teamwork or group activities;Student presentations",Yes,T1,T2,T2,T3,R7,R7,R7,R7,R1,R2,R2,R7,R2,R1,R1,R1,R5,R5,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,Yes,Excellent (> 90%),Its was good what we I have learnt in python is more interesting and I wish Learn more related to python course
1RVU23CSE218,Urban,"Lectures, including online lectures;In-class learning activities, other than discussions",Yes,T3,T3,T3,T3,R6,R6,R6,R6,R6,R4,R5,R4,R3,R3,R3,R3,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good (70 - 90%),The course was centered around analysing data which is pretty obvious. All the concepts were pretty informative and exciting to learn. I'm sure I'll be able to use them in real life as well. I look forward to learning more in this field of study.
1RVU23CSE433,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Projects or portfolios;Teamwork or group activities;Student presentations",No,T2,T1,T2,T2,R7,R7,R7,R7,R9,R11,R11,R11,R1,R1,R1,R1,R5,R5,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),"In our data analysis class, we delve into the exciting world of using Python(anaconda navigator jupyter notebook) for exploring and making sense of data. Python, with its rich ecosystem of libraries such as Pandas, NumPy, and Matplotlib, empowers us to efficiently manipulate, analyze, and visualize data. Through hands-on exercises and projects, assessments and activities and daily homework. we gain practical experience in cleaning and preparing datasets, performing statistical analyses, and creating insightful visualizations. This course equips us with valuable skills to extract meaningful insights from data, aiding decision-making processes across various domains. As we navigate the realm of data analysis with Python, we uncover the versatility and power of this programming language in transforming raw data into actionable knowledge."
1RVU23CSE469,Urban,"Lectures, including online lectures;Projects or portfolios;Teamwork or group activities;Student presentations",No,T1,T1,T2,T2,R7,R7,R7,R7,R1,R1,R6,R6,R1,R3,R3,R3,R4,R4,R4,R4,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,Yes,Yes,NO,NO,NO,Yes,Excellent (> 90%),I was really happy for me to be a part of the course . Learning from Shobhana ma'am was really exciting . So if the above suggestions were put up then we all could easily rate it at 100%.
1RVU23CSE473,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Projects or portfolios;Teamwork or group activities;Student presentations",No,T2,T3,T3,T4,R7,R7,R7,R6,R5,R5,R6,R6,R3,R3,R3,R3,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),I enjoyed the overall course as I was able to learn about concepts which I didn't know earlier. The final project regarding how to present the information regarding data collected by ourselves was challenging and fun at the same time through which we got to know how to present our work to others.
1RVU23CSE072,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations;Writing work",No,T2,T2,T3,T3,R7,R6,R6,R6,R2,R2,R2,R2,R4,R4,R4,R4,R5,R5,R5,R5,5,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),"I really liked the data analysis with Python introduction course. It gave me a strong base in using Python for working with data and analyzing it. We covered everything from exploring different datasets to using statistical methods, and I learned crucial skills for drawing useful conclusions from data. The hands-on activities and real-world examples made the learning enjoyable, and now I feel more confident in facing data-related tasks. Overall, it was a great experience that has given me the tools to handle data challenges with assurance."
1RVU23CSE321,Urban,"Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Projects or portfolios",Yes,T1,T2,T2,T3,R7,R7,R7,R7,R2,R1,R4,R4,R2,R1,R2,R1,R5,R5,R5,R5,4,4,4,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),"This is very Nice course, learnt lost of new things and never thought it didnt require much pre-requisites.The classroom assesments helped me remember what taught in class for longer time. Teaching is also very good. My experience in  this course is very positive."
1RVU23CSE030,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Teamwork or group activities;Student presentations;Guest lecturers;Support if we ask was always available,i am grateful for that",Yes,T1,T1,T1,T1,R6,R6,R6,R7,,,,,R5,R5,R5,R5,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good (70 - 90%),"It was a fun course that taught me a lot,looking forward to the next semester"
1RVU23CSE431,Urban,"Lectures, including online lectures;Teamwork or group activities;Student presentations",Yes,T1,T1,T1,T1,R1,R1,R1,R1,R1,R1,,,R1,R1,R1,R1,R3,R4,R3,R4,2,2,2,2,Circumstances,Circumstances,Circumstances,Yourself,NO,NO,NO,NO,NO,NO,NO,NO,Good (70 - 90%),It's over all good
1RVU23CSE536,Urban,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Teamwork or group activities;Student presentations",No,T2,T1,T1,T2,R4,R5,R5,R5,R3,R5,R5,R5,R2,R2,R2,R2,R4,R4,R4,R4,4,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good (70 - 90%),"1). Understanding data types, variables, and basic operations. 2). Introduction to libraries such as NumPy and Pandas for efficient data analysis. 3). Using libraries like Matplotlib and Seaborn to create visualizations. 4). Techniques for exploring and summarizing datasets.5). Dealing with missing values, outliers, and other data cleaning tasks. 6). Applying the acquired skills to real-world datasets through project work. 7). A final project that brings together all the skills learned throughout the course. "
1RVU23CSE247,Rural,"In-class clickers or other quick response methods;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations;Writing work",Yes,T4,T3,T4,T3,R6,R6,R6,R6,R4,R4,R4,R4,R3,R3,R3,R3,R4,R4,R4,R4,4,3,3,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good (70 - 90%),It was really good. We got different idea from this course
1RVU23CSE464,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,T2,T2,T2,T3,R4,R6,R6,R5,R7,R6,R2,R2,R1,R2,R2,R2,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),Overall the course was really helpful and learnt a lot from it. The teacher was outstanding and loved his enthusiasm when he was teaching. He was very supportive and helped us all throughout the semester. Had fun with the course and may continue to be like that.
1RVU23CSE302,Rural,"Class discussions, including online discussion boards;Labs;Projects or portfolios;Fieldwork/ field trips",No,T2,T4,T4,T4,R5,R5,R5,R5,R7,R5,R5,R5,R5,R2,R2,R2,R4,R3,R3,R4,3,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good (70 - 90%),"The course was very helpful. I understood how to analyse datas. But the problem I faced was i didn't learnt python in my previous studies.So i struggled little bit in learning some python codes
"
1RVU23CSE089,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Projects or portfolios;Teamwork or group activities;Student presentations;Guest lecturers;Fieldwork/ field trips;Writing work",Yes,T4,T5,T6,T6,R5,R6,R6,R5,R8,R6,R8,R6,R1,R1,R1,R1,R5,R5,R5,R5,3,3,3,4,Circumstances,Circumstances,Teacher,Circumstances,Yes,Yes,NO,NO,Yes,Yes,NO,NO,Good (70 - 90%),Nice experience
1RVU23CSE423,Rural,"In-class learning activities, other than discussions;Labs;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,T2,T2,T2,T1,R6,R6,R6,R6,R5,R5,R6,R6,R3,R3,R4,R3,R5,R5,R5,R5,4,4,4,4,Circumstances,Yourself,Circumstances,Yourself,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Good (70 - 90%),Ok so everything went well so i am happy with the course thank you
1RVU23CSE081,Rural,Labs,Yes,T2,T1,T1,T2,R2,R2,R2,R2,R2,R1,R1,R2,R2,R2,R2,R1,R2,R2,R3,R3,1,2,3,4,Yourself,Yourself,Teacher,Yourself,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),Nice
1RVU23CSE113,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;Projects or portfolios;Teamwork or group activities;Student presentations",No,T2,T4,T4,T3,R6,R6,R5,R4,R2,R2,R4,R2,R3,R3,R3,R3,R5,R5,R5,R5,5,5,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Good (70 - 90%),This course helped me to understand how to analyse the dataset and moreover this course is new to me so I am  very eager learn new things so this course helped me a lot.
1RVU23CSE145,Urban,"Class discussions, including online discussion boards;Projects or portfolios;Teamwork or group activities",Yes,T1,T1,T1,T1,R7,R7,R7,R7,R1,R1,R1,R4,R2,R2,R2,R2,R5,R5,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,Yes,Yes,Yes,Yes,Excellent (> 90%),I had a very informative time with Dr. Sahana Prasad ma'am. I understood the course very well. Especially the project taught me a lot.
1RVU23CSE354,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Labs;Teamwork or group activities;Student presentations",Yes,T2,T2,T4,T3,R7,R7,R7,R7,R5,R5,R5,R5,R2,R2,R3,R1,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Good (70 - 90%),"My overall course experience was amazing as I learnt how to analyse an unknown dataset, how to preprocess a dataset, how to plot graphs and which mode of central tendency to apply. I felt a bit difficulty to understand what data storytelling was as the concept was covered at the time of Sem end and wasn’t properly explained with good examples. Other than storytelling part I have cleanly understood what the professors thought us during class hours.In conclusion, I am happy with the course."
1RVU23CSE149,Urban,Projects or portfolios;Teamwork or group activities;Student presentations,Yes,T1,T1,T1,T1,R6,R6,R6,R6,R8,R8,R8,R8,R1,R1,R1,R1,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),My experience with this course was very good. It was very well structured and delivered. But I think that it could have been finished faster and there could have been more revisions. Also I think that we were taught very basic things and that we could have been taught some next level stuff as well.
1RVU23CSE551,Urban,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Teamwork or group activities;Student presentations",Yes,T4,T4,T4,T4,R5,R5,R5,R5,,,,,R2,R2,R2,R2,R4,R4,R4,R4,3,3,3,3,Circumstances,Circumstances,Circumstances,Circumstances,NO,NO,NO,NO,NO,NO,NO,NO,Good (70 - 90%),I was able to understand and apply the concepts taught in class. They were well taught. I did feel that the activities done could have been more fun or entertaining.
1RVU23CSE180,Rural,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,T1,T1,T2,T2,R5,R5,R6,R7,R2,R3,R4,R6,R2,R2,R2,R1,R5,R5,R5,R5,5,5,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),"I enjoyed this course very much, not only I learnt how to use Python for data analysis but I also learnt how to visualise and analyse a dataset in a complete different but very useful and effective manner."
1RVU23CSE333,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Teamwork or group activities;Student presentations;Guest lecturers",Yes,T2,T2,T2,T2,R6,R6,R6,R6,R3,R4,R2,R5,R1,R1,R1,R1,R5,R5,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,Yes,Yes,Yes,Yes,Excellent (> 90%),N/A
1RVU23CSE135,Rural,Projects or portfolios;Teamwork or group activities,No,T2,T2,T3,T3,R6,R6,R6,R5,R1,R2,R3,,R1,R1,R1,R6,R5,R5,R5,R4,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,Yes,NO,NO,NO,NO,Good (70 - 90%),At the beginning of this code I was not knowing about anaconda and google collab now I am able to write code to analyse the dataset
1RVU23CSE155,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Projects or portfolios;Student presentations;",No,T2,T3,T3,T3,R7,R6,R6,R6,R2,R5,R5,R5,R3,R3,R3,R3,R5,R5,R5,R5,4,5,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%),At first I didn't had any prior knowledge of this course or python language but after 3 or 4 classes I got an hold on it n everything went well...i understood everything in class n it was really good course
1RVU23CSE437,Urban,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Labs;Projects or portfolios;Teamwork or group activities;Student presentations;Fieldwork/ field trips",No,T2,T3,T3,T3,R7,R7,R7,R7,R1,R2,R2,R3,R3,R3,R3,R3,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),"As a student with biology background, it was overwhelming and difficult for me to cope with the coding language, but the lectures were very informative and easily understandable which led me to have an amazing understanding in the course and reciprocate the same in my projects and presentation."
1RVU23CSE421,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,T1,T1,T1,T1,R5,R5,R5,R5,R5,R5,R5,R5,R1,R1,R1,R1,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,Yes,Yes,Yes,Yes,Good (70 - 90%),"
The course equipped me with essential data analysis skills, emphasizing quick starts and effective communication. Practical applications in measures of central tendencies, visualization, and machine learning were highlighted through a project analyzing a new dataset."
1RVU23CSE002,Urban,"Class discussions, including online discussion boards;In-class learning activities, other than discussions",,T2,T3,T3,T4,R7,R7,R6,R6,R3,R4,R2,R5,R1,R2,R2,R3,R5,R5,R5,R5,5,5,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),The course is excellent teaching various concepts old and new that we have learnt before and also haven't our teacher sahana ma'am is and excellent teacher and she uses her vast experience well. She made the course interesting aswell
1RVU23CSE019,Urban,"Lectures, including online lectures;In-class learning activities, other than discussions;Projects or portfolios",No,T2,T2,T3,T2,R6,R6,R6,R6,R2,R3,R2,R4,R3,R3,R3,R3,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,NO,NO,NO,NO,Good (70 - 90%),I liked the course and faculty very much. Just needs a little bit of improved which I mentioned above
